0;ZARZĄDZANIE GMINĄ I JEJ REPREZENTACJA;
00;Organy kolegialne i jednoosobowe gminy;
000;Rada gminy;
6182;Nakazy wykonania określonych czynności i zabiegów w zakresie ochron roślin;BE5;
62;Wprowadzanie do środowiska substancji lub energii, gospodarowanie odpadami oraz ochrona przed hałasem;
620;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące wprowadzania do środowiska substancji lub energii, gospodarowania odpadami oraz ochrony przed hałasem;A;
621;Programy, projekty, analizy z zakresu wprowadzania do środowiska substancji lub energii, gospodarowania odpadami oraz ochrony przed hałasem;A;
622;Wprowadzanie substancji lub energii do środowiska;
6220;Ustalanie wpływu realizacji inwestycji na środowisko;BE10;między innymi decyzje o środowiskowych uwarunkowaniach realizacji inwestycji, opiniowanie przedsięwzięć w zakresie wpływu na środowisko
6221;Pozwalanie na wprowadzanie do środowiska substancji lub energii;BE10;między innymi wydanie, cofanie, ograniczanie, wygasanie pozwoleń
6222;Zgłaszanie eksploatacji instalacji, których użytkowanie nie wymaga pozwolenia;BE5;
6223;Pozwolenia zintegrowane w zakresie wprowadzania substancji lub energii do środowiska;BE10;
6224;Pomiary wielkości emisji zanieczyszczeń powietrza;BE5;między innymi informacje o pomiarach w skali województwa, informacje o pomiarach prowadzonych przez zobowiązane podmioty, monitorowanie pomiarów
6225;Pozwolenia na wprowadzanie gazów i pyłów do powietrza;BE10;
6226;Wydawanie opinii w zakresie ochrony przed substancjami lub polami elektromagnetycznymi;BE5;
6227;Uczestnictwo w systemie handlu uprawnieniami do emisji i monitorowanie wielkości emisji;BE10;między innymi zezwolenia, monitorowanie
6228;Bilanse źródeł szkodliwego zanieczyszczenia powietrza;A;
623;Gospodarka odpadami;
6230;Zatwierdzanie programów gospodarki odpadami niebezpiecznymi;BE10;w tym także wstrzymywanie działalności w zakresie gospodarowania odpadami niebezpiecznymi
6231;Informacje o poważnych awariach;BE10;
6232;Informacje o wytwarzaniu odpadów oraz sposobach gospodarowania odpadami;BE5;między innymi zatwierdzanie informacji
6233;Zezwalanie na prowadzenie odzyskiwania, unieszkodliwiania, zbierania lub transportu odpadów;B5;
6234;Opiniowanie wniosków o wydanie zezwoleń na prowadzenie odzyskiwania lub unieszkodliwiania odpadów;B5;opinie dla innych organów
6235;Zgłaszanie posiadania oraz prowadzenia transportu odpadów;B5;wraz z rejestrem
6236;Nakazy usunięcia odpadów z miejsc nieprzeznaczonych do ich składowania lub magazynowania;BE5;
6237;Zezwolenia na międzynarodowe przemieszczanie odpadów oraz zezwolenia wstępne na prowadzenie instalacji, w której prowadzone są procesy odzysku;BE5;tj. zezwolenia otrzymywane do wiadomości
624;Opłaty za gospodarcze korzystanie ze środowiska;B10;
625;Ochrona przed hałasem;
6250;Mapy akustyczne;A;
6251;Decydowanie o dopuszczalnym poziomie hałasu, w tym pozwolenia na emitowanie hałasu do środowiska;BE10;między innymi wydawane w odpowiedzi na interwencje mieszkańców
6252;Zgłaszanie instalacji emitujących hałas, których eksploatacja nie wymaga pozwolenia;BE5;
6253;Pomiary emisji hałasu;BE5;
6254;Wydawanie opinii w zakresie ochrony przed hałasem;BE5;
63;Ochrona wód i gospodarowanie wodami;
630;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące ochrony wód i gospodarowania wodami;A;
631;Programy, projekty, analizy z zakresu ochrony wód i gospodarowania wodami;A;
632;Ochrona wód oraz ochrona przed powodzią i suszą;
6320;Ustalanie stref ochronnych ujęć wody;BE10;
6321;Studium ochrony przeciwpowodziowej;A;w tym opinie
6322;Odszkodowania w związku z zalaniem gruntów podczas powodzi;BE10;
6323;Nakazy usunięcia drzew i krzewów;BE10;"zadanie tylko powiatu między innymi z terenów wałów przeciwpowodziowych"
6324;Przeciwdziałanie zanieczyszczeniom wód;B5;
633;Prawo własności wód;
6330;Ustalanie linii brzegu;BE10;zadanie tylko powiatu
6331;Naruszenie stanu wody na gruncie;B5;
6332;Użytkowanie gruntów pokrytych wodami;BE10;
634;Zarządzanie zasobami wodnymi;
6340;Ustalanie stref ochronnych urządzeń pomiarowych państwowej sieci hydrologiczno-meteorologicznej;BE10;zadanie tylko powiatu
6341;Pozwolenia wodnoprawne;BE10;zadanie tylko powiatu
6342;Zgłaszanie instalacji wodnych, których eksploatacja nie wymaga pozwolenia;BE5;
6343;Spółki wodne;BE10;zadanie tylko powiatu
6344;Ewidencjonowanie kąpielisk;A;
64;Ochrona powierzchni ziemi;;zadanie tylko powiatu
640;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące ochrony powierzchni ziemi;A;zadanie tylko powiatu
641;Programy, projekty, analizy z zakresu ochrony powierzchni ziemi;A;zadanie tylko powiatu
642;Badanie jakości gleby i ziemi;BE10;zadanie tylko powiatu
643;Obserwacje terenów zagrożonych ruchami masowymi ziemi oraz terenów, na których występują te ruchy;A;zadanie tylko powiatu
644;Uzgodnienia w odniesieniu do terenów zagrożonych osuwaniem się mas ziemnych;BE10;zadanie tylko powiatu
645;Wydawanie opinii w zakresie ochrony powierzchni ziemi;BE5;zadanie tylko powiatu
65;Gospodarowanie złożami i kopalinami;
650;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące gospodarowania złożami i kopalinami;A;
651;Programy, projekty, analizy z zakresu gospodarowania złożami i kopalinami;A;
652;Geologia surowcowa;
6520;Ewidencja złóż kopalin;A;
6521;Inwentaryzacja i bilanse zasobów złóż kopalin;A;
6522;Przyznawanie koncesji na poszukiwanie, rozpoznawanie i wydobywanie kopalin pospolitych;BE10;zadanie tylko powiatu
6523;Opiniowanie koncesji na poszukiwanie, rozpoznawanie i wydobywanie kopalin pospolitych;BE5;
6524;Opiniowanie planów ruchu zakładu górniczego;A;
6525;Analizy wykonawstwa prac w zakresie geologii surowcowej;BE5;
6526;Zatwierdzanie kryteriów bilansowości złóż;BE5;
6527;Zatwierdzanie projektu zagospodarowania złoża;BE5;
6528;Przyjmowanie dokumentacji ustalającej zasoby złóż kopalin pospolitych;BE5;
653;Hydrogeologia;
6530;Zatwierdzanie projektów prac hydrogeologicznych;BE5;
6531;Przyjmowanie dokumentacji hydrogeologicznych;BE5;
654;Geologia inżynierska;
6540;Zatwierdzanie projektów prac geologiczno-inżynierskich;BE5;
6541;Przyjmowanie dokumentacji geologiczno-inżynierskiej;BE5;
655;Inne prace geologiczne;BE10;
656;Szkody górnicze;
6560;Analizy i informacje dotyczące występowania szkód górniczych;A;
6561;Programy, plany, sprawozdania w zakresie usuwania szkód górniczych;A;
6562;Koordynacja zamierzeń i współpraca z innymi instytucjami w zakresie zapobiegania i likwidacji szkód;BE10;zadanie tylko powiatu
6563;Orzekanie w sprawie szkód górniczych;BE10;
6564;Ewidencja budynków mieszkalnych zakwalifikowanych do rozbiórki na skutek szkód górniczych;A;
6565;Przeglądy okresowe budynków przeznaczonych do rozbiórki na skutek szkód;BE5;
657;Nadzór nad robotami geologicznymi;
6570;Nadzór i kontrola nad prowadzeniem badań i sporządzaniem dokumentacji geologicznej;BE10;
6571;Orzecznictwo w sprawach szkód powstałych w związku z robotami geologicznymi;BE10;
6572;Zezwolenia na prowadzenie prac geologicznych;BE5;
6573;Kontrola realizacji planów prac geologicznych;BE10;
658;Informacja geologiczna i zawiadomienia;
6580;Informacja geologiczna;BE5;
6581;Zawiadomienia o odkryciu kopalnych roślin lub zwierząt;A;
66;Geodezja i kartografia;;"zadanie tylko powiatu klasyfikacja i kwalifikacja dokumentacji z państwowego zasobu geodezyjnego i kartograficznego wynika z odrębnych przepisów"
660;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące geodezji i kartografii;A;zadanie tylko powiatu
661;Programy, projekty, analizy z zakresu geodezji i kartografii;A;zadanie tylko powiatu
662;Ewidencjonowanie gruntów i budynków;;zadanie tylko powiatu
6620;Obsługa ewidencji gruntów i budynków;BE10;zadanie tylko powiatu
6621;Informacje, wypisy oraz wyrysy z operatu ewidencyjnego;B5;zadanie tylko powiatu
6622;Zmiana formy użytkowania gruntów;BE10;zadanie tylko powiatu
6623;Aktualizacja użytków gruntowych;BE10;zadanie tylko powiatu
6624;Numeracja porządkowa nieruchomości;A;
6625;Nazewnictwo placów i ulic;A;
663;Sieć uzbrojenia terenu;;zadanie tylko powiatu
6630;Koordynacja usytuowania projektowanych sieci uzbrojenia terenu;BE10;zadanie tylko powiatu
6631;Nadzór nad prowadzeniem prac związanych z siecią uzbrojenia terenu;BE5;zadanie tylko powiatu
664;Państwowy zasób geodezyjny i kartograficzny;
6640;Obsługa państwowego zasobu geodezyjnego i kartograficznego;BE10;zadanie tylko powiatu
6641;Nadzór nad pracami geodezyjnymi i kartograficznymi oraz zlecanie prowadzenia prac geodezyjnych i kartograficznych;B5;zadanie tylko powiatu
6642;Udostępnianie państwowego zasobu geodezyjno-kartograficznego;B5;zadanie tylko powiatu
6643;Ochrona znaków geodezyjnych, grawimetrycznych i magnetycznych;B5;zadanie tylko powiatu
67;Planowanie i zagospodarowanie przestrzenne oraz sprawy budownictwa;
670;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące planowania i zagospodarowania przestrzennego oraz spraw budownictwa;A;
671;Programy, projekty, analizy z zakresu planowania i zagospodarowania przestrzennego oraz spraw budownictwa;A;
672;Planowanie i zagospodarowanie przestrzenne;
6720;Studium uwarunkowań i kierunków zagospodarowania przestrzennego;A;
6721;Ustalanie miejscowego planu zagospodarowania przestrzennego;A;
6722;Miejscowy plan zagospodarowania przestrzennego;A;wraz ze skargami na ustalenia planu, rozstrzygnięciami
6723;Nadzór nad realizacją ustaleń planów zagospodarowania przestrzennego;BE10;
6724;Przeznaczenie terenów w miejscowym planie zagospodarowania przestrzennego;B5;w tym informacje, zawiadomienia, opinie, w tym opiniowanie projektów prac na przykład geologicznych, wstępnych projektów podziałów nieruchomości, zaświadczenia o zgodności projektu albo sposobu użytkowania (budynku) z miejscowym planem zagospodarowania przestrzennego, wnioski o zmianę przeznaczenie terenu
6725;Roszczenia w związku ze zmianą wartości nieruchomości w miejscowym planie zagospodarowania przestrzennego;BE10;w tym opłaty z tytułu wzrostu wartości nieruchomości, roszczenia odszkodowawcze w związku z uchwaleniem albo zmianą planu zagospodarowania przestrzennego
6726;Okresowe oceny skutków zmian w zagospodarowaniu przestrzennym wynikających z realizacji planu miejscowego;A;
6727;Wydawanie wypisów, wyrysów, zaświadczeń, itp. w zakresie planowania i zagospodarowania przestrzennego;B5;
673;Lokalizacja inwestycji;
6730;Ustalanie warunków zabudowy i zagospodarowania terenu ;A;w tym decyzje, opiniowanie decyzji, a także przenoszenie decyzji o warunkach zabudowy i zagospodarowania terenu na rzecz innego podmiotu
6731;Wstrzymywanie użytkowania terenu oraz przywracanie poprzedniego sposobu zagospodarowania;A;
6732;Stwierdzanie wygaśnięcia decyzji o warunkach zabudowy i zagospodarowania terenu;B5;
6733;Ustalanie lokalizacji inwestycji celu publicznego;A;w tym decyzje, opiniowanie decyzji
674;Budownictwo;
6740;Pozwolenia na budowę, przebudowę i rozbudowę obiektów budowlanych oraz zmiany sposobu użytkowania obiektów budowlanych lub ich części;BE10;przy czym okres przechowywania liczony jest zgodnie z ustawą - Prawo budowlane; w tym zatwierdzanie projektu budowlanego,  pozwolenia na budowę, przebudowę i rozbudowę obiektów budowlanych, zmianę sposobu użytkowania obiektów budowlanych lub ich części, remonty obiektów budowlanych, przenoszenie pozwolenia na innego inwestora
6741;Rozbiórka obiektów budowlanych;B10;w tym pozwolenia, decyzje
6742;Zezwolenia na wejście w teren sąsiedniej nieruchomości w celu wykonania niezbędnych robót budowlanych;B5;
6743;Zgłaszanie zamiaru przystąpienia do wykonywania robót budowlanych, rozbiórki, zmiany sposobu użytkowania obiektu budowlanego lub jego części;B5;
68;Gospodarowanie nieruchomościami;
680;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące gospodarowania nieruchomościami;A;
681;Wiedza o nieruchomościach i jej aktualizacja;
6810;Ewidencja nieruchomości;A;
6811;Inwentaryzowanie nieruchomości;A;
6812;Oszacowanie wartości i wycena nieruchomości;A;
682;Stan prawny nieruchomości;
6820;Przejmowanie nieruchomości na rzecz Skarbu Państwa;A;
6821;Wykonywanie, ograniczanie, pozbawianie praw do nieruchomości oraz zwrot nieruchomości;A;zadanie tylko powiatu
6822;Przejmowanie nieruchomości na rzecz gminy;A;
6823;Zakup nieruchomości;A;
6824;Zniesienie współwłasności nieruchomości;A;
6825;Komunalizacja mienia Skarbu Państwa;A;
6826;Przekształcanie prawa użytkowania wieczystego w prawo własności;A;
683;Rozgraniczanie, scalanie i podział nieruchomości;;przy czym opłata adiacencka przy klasie 3134
6830;Rozgraniczanie nieruchomości;A;
6831;Podział nieruchomości;A;
6832;Scalanie nieruchomości;A;
6833;Odszkodowania za nieruchomości przejęte pod drogi publiczne;BE10;
684;Zarządzanie nieruchomościami;
6840;Sprzedaż nieruchomości;A;
6841;Oddawanie nieruchomości w użytkowanie wieczyste;A;
6842;Rozwiązywanie i wygaszanie umów użytkowania wieczystego;BE5;
6843;Opłaty za użytkowanie wieczyste;B5;
6844;Oddawanie nieruchomości w trwały zarząd;BE10;
6845;Przekazywanie nieruchomości do korzystania, w tym w dzierżawę lub najem;BE10;
6846;Przekazywanie nieruchomości na cele szczególne;BE10;
6847;Służebności gruntowe;BE5;
685;Użyczenia nieruchomości;
6850;Użyczanie nieruchomości;BE5;
6851;Udostępnianie nieruchomości pod lokalizację nośników reklamowych;B5;
6852;Zezwolenia na czasowe zajęcie nieruchomości;B5;
6853;Zezwolenia na zakładanie, przeprowadzanie i wykonanie na nieruchomościach urządzeń technicznych;B10;
686;Tereny pod budownictwo mieszkaniowe;
6860;Tworzenie zasobu gruntów na cele rozbudowy pod budownictwo mieszkaniowe;A;
6861;Stan prawny terenów pod budownictwo mieszkaniowe;A;
6862;Planowanie szczegółowe dla terenów pod budownictwo mieszkaniowe;A;
6863;Zarządzanie zasobem terenów na cele budownictwa mieszkaniowego;BE10;
687;Nadzór nad zarządzaniem gruntami;
6870;Organizacja zarządzania gruntami;BE10;
6871;Nadzór i kontrola zarządzania gruntami;BE10;
6872;Opiniowanie sposobu zarządzania gruntami;BE5;
6873;Wspólnoty gruntowe;BE10;""
7;GOSPODARKA KOMUNALNA, DROGOWNICTWO, SYSTEM KOMUNIKACYJNY, WSPIERANIE GOSPODARKI, RYNKU PRACY ORAZ PRAW KONSUMENCKICH;
70;Gospodarka komunalna;
700;Zagadnienia ogólne w zakresie gospodarki komunalnej;
7000;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu gospodarki komunalnej;A;
7001;Analizowanie, prognozowanie i planowanie z zakresu prowadzenia gospodarki komunalnej;A;
7002;Przekazywanie zadań z zakresu prowadzenia gospodarki komunalnej;A;
7003;Nadzorowanie i monitorowanie realizacji przekazanych zadań z zakresu prowadzenia gospodarki komunalnej;A;w tym opiniowanie planów  działalności jednostek, którym przekazano zadania
701;Inwestycje komunalne;
7010;Planowanie inwestycji komunalnych;A;
7011;Przygotowanie inwestycji komunalnej;BE10;
7012;Opiniowanie i zatwierdzanie dokumentacji inwestycji komunalnych;BE5;
7013;Realizacja i odbiór inwestycji komunalnych;BE5;
7014;Ewidencja inwestycji komunalnych;A;
702;Utrzymanie, eksploatacja i zarządzanie obiektami i urządzeniami komunalnymi;
7020;Ewidencja obiektów i urządzeń komunalnych;A;
7021;Utrzymanie i eksploatacja obiektów i urządzeń komunalnych;BE5;w tym utrzymanie, bieżące remonty i eksploatacja terenów zieleni miejskiej, komunikacyjnej, infrastruktury sportowej i rekreacyjnej, lokali, budynków, składowisk odpadów, ujęć wody etc.; zgłoszenia awarii wraz z rejestrem
703;Usługi komunalne;
7030;Ustalanie wysokości opłat za usługi komunalne oraz zatwierdzanie cenników opłat za usługi komunalne;A;
7031;Zlecanie podmiotom zewnętrznym świadczenia usług komunalnych ;B5;w tym także samorządowym jednostkom organizacyjnym; między innymi umowy na realizację usług komunalnych
7032;Kontrolowanie jakości dostarczanych usług komunalnych;A;
7033;Badania i analizy w zakresie jakości świadczonych usług komunalnych;A;
704;Zarządzanie cmentarzami;
7040;Zakładanie, rozszerzanie i likwidacja cmentarzy komunalnych;A;
7041;Ewidencja cmentarzy na terenie jednostki samorządu;A;
7042;Ewidencja cmentarna;A;w tym księgi, bazy danych
7043;Projekty kwater (miejsc grzebalnych);A;
7044;Przydział miejsc grzebalnych;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego grobu (w systemie tradycyjnym w formie  teczki zbiorczej), to kwalifikuje się ją do kategorii A
7045;Utrzymanie miejsc grzebalnych;B5;
7046;Ekshumacje ;A;
7047;Udostępnianie danych i informacji z ewidencji cmentarnej;B5;
7048;Zezwalanie na sprowadzanie zwłok i szczątków ludzkich zza granicy w celu ich pochowania;B5*);"zadanie tylko powiatu*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego grobu (w systemie tradycyjnym w formie  teczki zbiorczej), to kwalifikuje się ją do kategorii A"
7049;Przekazywanie zwłok do celów  naukowych;A;zadanie tylko powiatu
71;Gospodarowanie budynkami, mieszkaniami i lokalami;
710;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu gospodarowania budynkami, mieszkaniami i lokalami;A;
711;Zagadnienia ogólne w zakresie gospodarowania budynkami, mieszkaniami i lokalami;
7110;Wieloletnie programy gospodarowania mieszkaniowym i lokalowym zasobem gminy ;A;
7111;Pozyskiwanie budynków i lokali na cele komunalne;A;
7112;Pozyskiwanie wsparcia finansowego na tworzenie lokali socjalnych, mieszkań chronionych, noclegowni, domów dla bezdomnych, lokali wchodzących w skład mieszkaniowego zasobu gminy nie będących lokalami socjalnymi;A;
7113;Analizowanie cen najmu lokali mieszkalnych nienależących do publicznego zasobu mieszkaniowego ;A;
7114;Ustalanie zasad najmu lokali oraz wysokości opłat za najem lokali;A;
712;Stan prawny budynków, mieszkań i lokali;
7120;Samodzielność lokali mieszkalnych;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danej nieruchomości (w systemie tradycyjnym w formie  teczki zbiorczej), to kwalifikuje się ją do kategorii A
7121;Ustanawianie odrębnej własności lokali;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danej nieruchomości (w systemie tradycyjnym w formie  teczki zbiorczej), to kwalifikuje się ją do kategorii A
7122;Znoszenie współwłasności nieruchomości;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danej nieruchomości (w systemie tradycyjnym w formie  teczki zbiorczej), to kwalifikuje się ją do kategorii A
7123;Ustalanie tytułów prawnych do lokali;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danej nieruchomości (w systemie tradycyjnym w formie  teczki zbiorczej), to kwalifikuje się ją do kategorii A
7124;Ustalanie i poświadczanie stanu prawnego nieruchomości i lokali;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danej nieruchomości (w systemie tradycyjnym w formie  teczki zbiorczej), to kwalifikuje się ją do kategorii A
7125;Wykup mieszkań i lokali przez najemców;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danej nieruchomości (w systemie tradycyjnym w formie  teczki zbiorczej), to kwalifikuje się ją do kategorii A
7126;Teczki zbiorcze na dokumentację budynków, lokali i mieszkań;A;w tym ich ewidencja
713;Zarząd nieruchomością wspólną;
7130;Wspólnoty mieszkaniowe;A;w tym protokoły z posiedzeń, uchwały, reprezentowanie gminy lub Skarbu Państwa na posiedzeniach, ewidencja wspólnot
7131;Powierzanie podmiotom zewnętrznym zarządu nieruchomościami;A;
7132;Kontrolowanie prawidłowości sprawowania zarządu nieruchomościami;A;
7133;Kontrolowanie prawidłowości wykorzystania lokali;BE5;w tym informacje o zakłócaniu porządku domowego
7134;Przejmowanie ruchomości w depozyt;BE5;w tym protokoły przejęcia, wydawania depozytu, korespondencja
7135;Przebudowa lokali;B5;
714;Zaspokajanie potrzeb mieszkaniowych wspólnoty gminnej;
7140;Ustalanie uprawnień do najmu lokali z mieszkaniowego zasobu gminy;BE10;między innymi wnioski, protokoły z wizji, wywiady środowiskowe, projekty list oczekujących, protesty oczekujących, listy oczekujących, skierowania do zawarcia umowy najmu, przyznawanie lokali; także wynajem lokali o czynszu wolnym
7141;Przyznawanie lokali mieszkalnych zamiennych;B10*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego mieszkania lub lokalu (w systemie tradycyjnym w formie  teczki zbiorczej), to po upływie 10 lat od dnia zamknięcia poddaje się ją ekspertyzie archiwalnej archiwum państwowego, na przykład w związku ze złym stanem technicznym budynku, klęską żywiołową
7142;Zapewnianie lokali mieszkalnych socjalnych;B10*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego mieszkania lub lokalu (w systemie tradycyjnym w formie  teczki zbiorczej), to po upływie 10 lat od dnia zamknięcia poddaje się ją ekspertyzie archiwalnej archiwum państwowego, między innymi wyroki sądowe o przyznaniu prawa do lokalu socjalnego, odszkodowania za zajmowanie lokalu bez tytułu prawnego, odszkodowania za niedostarczenie lokalu
7143;Postępowanie o opróżnienie lokalu mieszkalnego;B10*);"*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego mieszkania lub lokalu (w systemie tradycyjnym w formie  teczki zbiorczej), to po upływie 10 lat od dnia zamknięcia poddaje się ją ekspertyzie archiwalnej archiwum państwowego, między innymi udział przedstawicieli gminy w tzw. interwencjach ubocznych, postępowania sądowe"
7144;Zamiana lokali mieszkalnych;B5;
7145;Zawieranie umów o odpłatne używanie lokali mieszkalnych;B5*);"*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego mieszkania lub lokalu (w systemie tradycyjnym w formie  teczki zbiorczej), to po upływie 10 lat od dnia zamknięcia poddaje się ją ekspertyzie archiwalnej archiwum państwowego; dotyczy lokali mieszkalnych, socjalnych, zamiennych; między innymi protokoły o wydanie lokali, wnioski o obniżenie czynszu, wypowiadanie umów"
7146;Zadłużenie czynszowe lokali mieszkalnych;B5*);"*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego mieszkania lub lokalu (w systemie tradycyjnym w formie  teczki zbiorczej), to po upływie 10 lat od dnia zamknięcia poddaje się ją ekspertyzie archiwalnej archiwum państwowego; między innymi ulgi, umorzenia"
7147;Podnajem lokali mieszkalnych;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego mieszkania lub lokalu (w systemie tradycyjnym w formie  teczki zbiorczej), to po upływie 10 lat od dnia zamknięcia poddaje się ją ekspertyzie archiwalnej archiwum państwowego
715;Lokale użytkowe;
7150;Przetargi na wynajem lokali użytkowych;B5;
7151;Umowy na wynajem lokali użytkowych;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego mieszkania lub lokalu (w systemie tradycyjnym w formie  teczki zbiorczej), to po upływie 10 lat od dnia zamknięcia poddaje się ją ekspertyzie archiwalnej archiwum państwowego
7152;Przyznawanie pomocy publicznej w zakresie wynajmu lokali użytkowych;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego mieszkania lub lokalu (w systemie tradycyjnym w formie  teczki zbiorczej), to po upływie 10 lat od dnia zamknięcia poddaje się ją ekspertyzie archiwalnej archiwum państwowego
7153;Zadłużenie czynszowe lokali użytkowych;B5*);*) jeżeli dokumentacja nie została przyporządkowana do zbioru dokumentacji dotyczącej danego mieszkania lub lokalu (w systemie tradycyjnym w formie  teczki zbiorczej), to po upływie 10 lat od dnia zamknięcia poddaje się ją ekspertyzie archiwalnej archiwum państwowego
716;Teczki zbiorcze na dokumentację lokali mieszkalnych i użytkowych;BE10;w tym ich ewidencja, która kwalifikowana jest do kategorii A
72;Drogownictwo i system komunikacyjny;
720;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu drogownictwa i systemu komunikacyjnego;A;
721;Zarządzanie drogami;
7210;Zaliczanie dróg do określonej kategorii;BE10;
7211;Opinie w sprawie przebiegu dróg;BE10;
722;Organizacja i bezpieczeństwo ruchu drogowego;
7220;Ewidencja zatwierdzonych projektów zmian organizacji ruchu drogowego;A;zadanie tylko powiatu
7221;Projekty zmian organizacji ruchu drogowego;BE5;
7222;Pomiary ruchu drogowego;BE5;
7223;Znaki drogowe i sygnalizacja drogowa;BE5;
7224;Wypadki drogowe;BE5;
7225;Okresowe kontrole stanu dróg i obiektów mostowych;BE5;
7226;Współdziałanie w zakresie organizacji i bezpieczeństwa ruchu drogowego;BE5;
723;Nadzór nad wykorzystaniem dróg;
7230;Zezwolenia na korzystanie z dróg w sposób szczególny;B5;
7231;Ustalanie miejsc postoju i opłat za parkowanie;BE5;
7232;Ustalanie stref taryfowych taxi;BE5;
7233;Wydawanie kart parkingowych;B5;zadanie tylko powiatu
7234;Przeciwdziałanie niszczeniu dróg;BE5;
7235;Usuwanie pojazdów;B5;
724;System komunikacyjny;
7240;Planowanie i organizowanie publicznego transportu zbiorowego;A;
7241;Studia, analizy, badania dotyczące komunikacji;A;
7242;Opiniowanie rozwiązań i projektów dotyczących komunikacji zbiorowej i przewozów taksówką;BE5;
7243;Nadzór nad realizacją usług gminnego transportu publicznego;BE5;
7244;Działalność marketingowa, reklamowa i promocyjna w zakresie transportu;BE5;
73;Wspieranie gospodarki i rynku pracy;
730;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu wspierania gospodarki i rynku pracy;
731;Polityka gospodarcza;
7310;Strategia rozwoju gospodarczego;A;
7311;Realizacja strategii rozwoju gospodarczego i planów operacyjnych;A;
7312;Analizy i oceny stanu oraz perspektyw rozwoju gospodarczego;A;
7313;Pozyskiwanie środków pozabudżetowych i pomocowych na rozwój gminy;BE5;
732;Promocja gospodarcza;
7320;Konkursy i nagrody gospodarcze;A;
7321;Wspieranie aktywności gospodarczej mieszkańców;BE5;
7322;Pozyskiwanie inwestorów;BE5;
7323;Informacja gospodarcza;A;
7324;Specjalne strefy ekonomiczne;BE5;
733;Działalność gospodarcza;
7330;Wykonywanie zadań z zakresu obsługi ewidencji działalności gospodarczej;B10*);*) przy czym całość dokumentacji w zakresie ewidencji działalności gospodarczej , jeżeli nie wiąże się z obsługą centralnej ewidencji i informacji o działalności gospodarczej, należy zakwalifikować do kategorii A
7331;Poświadczenia o wpisie do ewidencji działalności gospodarczej z innych urzędów;B5;
7332;Poświadczanie danych ze zbioru ewidencji działalności gospodarczej;B5;
7333;Ewidencja pól biwakowych i ich kategoryzacja;A;
7334;Ewidencja miejsc noclegowych;A;
7335;Ustalanie godzin pracy placówek;BE5;
734;Zezwolenia, licencje i zgłoszenia;
7340;Zezwolenia na sprzedaż alkoholu;B3;
7341;Udzielanie licencji na wykonywanie krajowego transportu drogowego osób i rzeczy;BE5;zadanie tylko powiatu
7342;Zezwolenia na wykonywanie przewozów w transporcie drogowym;BE5;
7343;Zgłoszenia przewozów drogowych na potrzeby własne;B5;zadanie tylko powiatu
7344;Udzielanie licencji na wykonywanie transportu drogowego taksówką;BE5;
7345;Egzaminowanie osób, które ukończyły szkolenie w zakresie transportu drogowego taksówką;BE5;zadanie tylko powiatu
7346;Nadzór nad prowadzeniem działalności zgodnie z zezwoleniem (licencją);BE10;zadanie tylko powiatu
735;Pomoc publiczna dla przedsiębiorców;
7350;Programy pomocy publicznej przedsiębiorcom;A;
7351;Udzielanie pomocy publicznej przedsiębiorcom;A;
7352;Sprawozdawczość w zakresie udzielonej przedsiębiorcom pomocy publicznej;A;
